molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL24907,CCc1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,2100.0,nM,5.68,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL177136,CC(=N)N1CCC(N(CC(C)C(=O)O)c2ccc3c(c2)nc(C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,Ki,5000.0,nM,5.3,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL151985,CCOC(=O)CCC(=O)N(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,Ki,5000.0,nM,5.3,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL273196,CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,IC50,0.03,nM,10.52,CHEMBL815795,B,Concentration required to inhibit thrombin was determined,CHEMBL1134950,2002
CHEMBL273196,CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,Ki,7.0,nM,8.15,CHEMBL813624,B,Inhibitory constant of thrombin catalytic activity was determined,CHEMBL1134950,2002
CHEMBL3142712,NC(C(=O)N1CCC[C@H]1C(=O)NCC1CCCCC1)C(c1ccccc1)c1ccccc1,Ki,70.0,nM,7.16,CHEMBL814953,B,Binding affinity towards thrombin,CHEMBL1131569,1998
CHEMBL3142680,Cc1cc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c(C)cc1CN,IC50,39.0,nM,7.41,CHEMBL808337,B,Inhibitory activity against thrombin,CHEMBL1131569,1998
CHEMBL177142,CC(=N)N1CCC(Oc2ccc3nc(C(C)C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,32.0,nM,7.5,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL49082,CCON(C(=O)C1=CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)C1CCCCC1,IC50,870.0,nM,6.06,CHEMBL816447,B,In vitro for the inhibition of thrombin,CHEMBL1132927,2000
CHEMBL3142676,NC(C(=O)N1CCC[C@H]1C(=O)NCc1cc(Cl)cc(Cl)c1)C(c1ccccc1)c1ccccc1,IC50,450.0,nM,6.35,CHEMBL808337,B,Inhibitory activity against thrombin,CHEMBL1131569,1998
CHEMBL172532,COC(=O)CN(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,Ki,98.0,nM,7.01,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL47543,Nc1cc[n+](Cc2ccc(OCc3ccccc3)cc2)cc1,Ki,700.0,nM,6.16,CHEMBL813565,B,Compound was evaluated for its inhibitory activity against human thrombin,CHEMBL1131365,1998
CHEMBL48016,Nc1cc[n+](Cc2ccc(OC(c3ccccc3)c3ccccc3)cc2)cc1,Ki,58.0,nM,7.24,CHEMBL813565,B,Compound was evaluated for its inhibitory activity against human thrombin,CHEMBL1131365,1998
CHEMBL419202,CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](CO)C1CCCCC1,IC50,19.0,nM,7.72,CHEMBL649726,B,Concentration required to inhibit Human alpha-thrombin was determined,CHEMBL1134950,2002
CHEMBL3142739,NC(C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1Cl)C(c1ccccc1)c1ccccc1,IC50,260.0,nM,6.58,CHEMBL808337,B,Inhibitory activity against thrombin,CHEMBL1131569,1998
