molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL1627354,CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1Cc2cc(O)ccc2[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@@H]21,IC50,3.5,nM,8.46,CHEMBL679882,F,Antagonist effect on transcriptional activation in MCF-7 cells expressing estrogen receptor alpha,CHEMBL1132758,2000
CHEMBL59271,Cc1cc(-c2cc(-c3ccccc3)cc(N(C)CCc3ccccn3)n2)ccc1O,Ki,1260.0,nM,5.9,CHEMBL682296,B,Ability to displace [3H]17-beta-estradiol from Estrogen receptor alpha by scintillation proximity assay.,CHEMBL1133877,2001
CHEMBL61026,CCN(Cc1ccncc1)c1cc(-c2ccccc2)cc(-c2ccc(O)c(C)c2)n1,Ki,830.0,nM,6.08,CHEMBL682296,B,Ability to displace [3H]17-beta-estradiol from Estrogen receptor alpha by scintillation proximity assay.,CHEMBL1133877,2001
CHEMBL294710,Cc1ccccc1-c1cc(-c2ccc(O)cc2)nc(N(C)CCc2ccccc2)c1,Ki,650.0,nM,6.19,CHEMBL682296,B,Ability to displace [3H]17-beta-estradiol from Estrogen receptor alpha by scintillation proximity assay.,CHEMBL1133877,2001
CHEMBL58486,Cc1cc(-c2cc(-c3ccccc3)cc(N(C)CC(C)C)n2)ccc1O,Ki,210.0,nM,6.68,CHEMBL682296,B,Ability to displace [3H]17-beta-estradiol from Estrogen receptor alpha by scintillation proximity assay.,CHEMBL1133877,2001
CHEMBL292573,CCCN(Cc1ccccn1)c1cc(-c2ccccc2)cc(-c2ccc(O)cc2)n1,Ki,180.0,nM,6.75,CHEMBL682296,B,Ability to displace [3H]17-beta-estradiol from Estrogen receptor alpha by scintillation proximity assay.,CHEMBL1133877,2001
CHEMBL1116,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,IC50,2.0,nM,8.7,CHEMBL679325,B,Displacement of [3H]17-beta-estradiol from human Estrogen receptor alpha,CHEMBL1132758,2000
CHEMBL1116,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,IC50,0.72,nM,9.14,CHEMBL679882,F,Antagonist effect on transcriptional activation in MCF-7 cells expressing estrogen receptor alpha,CHEMBL1132758,2000
CHEMBL126164,Oc1ccc([C@H]2Sc3cc(O)ccc3S[C@H]2c2ccc(OCCN3CCCC3)cc2)cc1,IC50,18.0,nM,7.75,CHEMBL677478,B,Binding affinity for human estrogen receptor alpha,CHEMBL1146804,2004
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,IC50,1.3,nM,8.89,CHEMBL677478,B,Binding affinity for human estrogen receptor alpha,CHEMBL1146804,2004
