molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL114169,CC(C)[C@H](NC(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1)C(=O)NCc1ccc(C(=O)O)cc1,IC50,1300.0,nM,5.89,CHEMBL653512,B,Inhibition of human Beta-secretase 1,CHEMBL1147464,2004
CHEMBL143687,COC(=O)c1cc(NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)C(O)c2ccccc2-c2ccccc2)C(C)C)cc(C(=O)OC)c1,IC50,120.0,nM,6.92,CHEMBL653332,B,Compound was tested for its inhibitory activity against human beta-Secretase (BACE),CHEMBL1144938,2003
CHEMBL143687,COC(=O)c1cc(NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)C(O)c2ccccc2-c2ccccc2)C(C)C)cc(C(=O)OC)c1,EC50,4000.0,nM,5.4,CHEMBL653331,B,Compound was tested for its effective concentration against human beta-Secretase (BACE),CHEMBL1144938,2003
CHEMBL309438,CCC(C)C[C@H](NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(C)=O)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,IC50,650.0,nM,6.19,CHEMBL653512,B,Inhibition of human Beta-secretase 1,CHEMBL1147464,2004
CHEMBL82270,CC(C)[C@H](F)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,1130.0,nM,5.95,CHEMBL653509,B,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,CHEMBL1146699,2004
CHEMBL138386,CC(C)[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,190.0,nM,6.72,CHEMBL653509,B,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,CHEMBL1146699,2004
CHEMBL432560,CC[C@H](C)[C@H](O)C(=O)N[C@@H](CCC(F)F)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](CCC(F)F)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,45.0,nM,7.35,CHEMBL653509,B,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,CHEMBL1146699,2004
CHEMBL84835,CC(C)CC(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,1740.0,nM,5.76,CHEMBL653509,B,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,CHEMBL1146699,2004
CHEMBL316181,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,IC50,37.0,nM,7.43,CHEMBL653509,B,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,CHEMBL1146699,2004
CHEMBL66035,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,Ki,10.0,nM,8.0,CHEMBL653499,B,Inhibition of human recombinant beta-secretase,CHEMBL1134505,2001
