molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL94825,O=C1NCc2c(-c3ccccc3Cl)cc(OC3CCNCC3)cc2N1c1c(Cl)cccc1Cl,IC50,0.2,nM,9.7,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL264627,O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCN(CC4CCC4)CC3)cc2N1c1c(Cl)cccc1Cl,IC50,0.6,nM,9.22,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL96632,COc1cc(-c2ccccc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,IC50,6.0,nM,8.22,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL96432,O=C1NCc2c(-c3ccc(F)cc3F)cc(NC3CCNCC3)cc2N1c1c(Cl)cccc1Cl,IC50,0.6,nM,9.22,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL94556,COC(=O)c1cc(-c2ccccc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,IC50,1.0,nM,9.0,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL96345,CCN1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1,IC50,1.2,nM,8.92,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL94852,COC(=O)c1cc(-c2cccc(F)c2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,IC50,79.0,nM,7.1,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL94719,COC(=O)c1cc(-c2ccc(C(F)(F)F)cc2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,IC50,130.0,nM,6.89,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL328252,COC(=O)c1cc(-c2ccc(F)cc2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,IC50,22.0,nM,7.66,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL96487,O=C1NCc2c(-c3ccccc3Cl)cc(N3CCNCC3)cc2N1c1c(Cl)cccc1Cl,IC50,1.4,nM,8.85,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL318934,CC(C1CC1)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1,IC50,0.3,nM,9.52,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL316604,CC(C)(C)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1,IC50,0.2,nM,9.7,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL421194,COC(=O)c1cc(-c2ccccc2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,IC50,30.0,nM,7.52,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
